Designator,Mid X,Mid Y,Rotation,Layer
R21,175.75375,-134.5025,90.0,top
R22,176.70375,-134.1625,90.0,top
R23,175.1,-132.9,180.0,top
R24,30.17,-104.6,90.0,bottom
R25,30.17,-108.3,270.0,bottom
R26,177.66375,-134.9025,270.0,top
R27,305.75665,-41.17015,180.0,bottom
R28,177.24375,-129.1325,90.0,top
R29,178.18375,-129.1325,270.0,top
R3,30.4875,-46.625,90.0,top
R30,360.35,-34.7,225.0,top
R31,359.3,-31.6,270.0,top
R32,183.54125,-131.815,0.0,top
R33,185.14125,-130.4175,90.0,top
R34,188.69625,-132.435,0.0,top
R35,184.66125,-136.115,0.0,top
R36,183.63125,-133.695,0.0,top
R37,188.69625,-133.375,180.0,top
R38,372.55665,-31.67015,270.0,top
R39,327.35665,-44.97015,270.0,top
R4,33.4675,-45.825,90.0,top
R5,32.4675,-45.825,90.0,top
R6,31.4675,-46.425,270.0,top
R7,29.9,-54.3,90.0,bottom
R8,29.9,-58.0,270.0,bottom
R9,33.7675,-44.225,0.0,top
U1,313.95665,-42.17015,0.0,bottom
U2,352.64165,-35.08015,90.0,bottom
